mapping_id,system_id,business_service_id,regulation,obligation,applicability,criticality,evidence_required,current_evidence_quality,compliance_exposure_score,audit_defensibility,jurisdiction
REG00000828,SYS0003127,BS000567,NIS2,Cyber risk governance,Direct,Low,Cyber risk governance evidence pack,39.6,15.1,Strong,EU
REG00000829,SYS0006371,BS000558,DORA,ICT risk management,Evidence Only,High,ICT risk management evidence pack,64.2,16.1,Strong,UK
REG00000830,SYS0008712,BS000241,DORA,Third-party risk evidence,Direct,Medium,Third-party risk evidence evidence pack,53.3,4.7,Strong,UK
REG00000831,SYS0007858,BS000314,Operational Resilience,Impact tolerance,Evidence Only,High,Impact tolerance evidence pack,38.5,27.4,Strong,EU
REG00000832,SYS0004512,BS000349,GDPR,Processor evidence,Direct,Critical,Processor evidence evidence pack,63.7,24.7,Strong,EU
REG00000833,SYS0001417,BS000514,GDPR,Data protection controls,Evidence Only,Medium,Data protection controls evidence pack,80.1,26.6,Strong,EU
REG00000834,SYS0005845,BS000289,Internal Audit,Risk acceptance,Indirect,Critical,Risk acceptance evidence pack,8.4,25.7,Strong,Global
REG00000835,SYS0000505,BS000217,GDPR,Breach reporting,Indirect,Critical,Breach reporting evidence pack,78.1,34.5,Strong,EU
REG00000836,SYS0002418,BS000303,Operational Resilience,Service mapping,Watch,Medium,Service mapping evidence pack,45.3,30.9,Strong,Global
REG00000837,SYS0009097,BS000625,HIPAA,Protected data safeguards,Direct,Medium,Protected data safeguards evidence pack,70.1,15.1,Strong,APAC
REG00000838,SYS0001350,BS000604,SOX,Change evidence,Direct,High,Change evidence evidence pack,50.0,40.5,Moderate,Global
REG00000839,SYS0007205,BS000214,PCI-DSS,Segmentation evidence,Indirect,Medium,Segmentation evidence evidence pack,53.3,36.7,Moderate,LATAM
REG00000840,SYS0006892,BS000276,HIPAA,Business associate evidence,Evidence Only,Medium,Business associate evidence evidence pack,65.7,23.3,Strong,EU
REG00000841,SYS0003148,BS000641,HIPAA,Protected data safeguards,Direct,Medium,Protected data safeguards evidence pack,61.1,22.8,Strong,Global
REG00000842,SYS0007266,BS000137,Internal Audit,Policy compliance,Indirect,Medium,Policy compliance evidence pack,67.0,24.1,Strong,Global
REG00000843,SYS0005465,BS000696,GDPR,Breach reporting,Watch,Critical,Breach reporting evidence pack,55.7,30.7,Strong,US
REG00000844,SYS0011063,BS000439,Internal Audit,Risk acceptance,Indirect,Critical,Risk acceptance evidence pack,47.8,21.8,Strong,EU
REG00000845,SYS0002943,BS000013,NIS2,Incident reporting,Evidence Only,High,Incident reporting evidence pack,62.3,21.9,Strong,APAC
REG00000846,SYS0011544,BS000233,DORA,Operational resilience testing,Direct,High,Operational resilience testing evidence pack,42.8,30.6,Strong,EU
REG00000847,SYS0008168,BS000091,SOX,Access attestation,Direct,Low,Access attestation evidence pack,19.0,14.6,Strong,Global
REG00000848,SYS0005846,BS000351,SOX,Change evidence,Evidence Only,High,Change evidence evidence pack,57.1,24.8,Strong,UK
REG00000849,SYS0003848,BS000624,NIS2,Cyber risk governance,Indirect,High,Cyber risk governance evidence pack,43.7,53.0,Moderate,UK
REG00000850,SYS0004916,BS000356,NIS2,Incident reporting,Direct,High,Incident reporting evidence pack,91.3,23.2,Strong,EU
REG00000851,SYS0000621,BS000431,SOX,Financial reporting control,Direct,High,Financial reporting control evidence pack,38.8,33.7,Strong,APAC
REG00000852,SYS0011405,BS000440,NIS2,Supply-chain security,Indirect,Medium,Supply-chain security evidence pack,65.6,31.6,Strong,APAC
REG00000853,SYS0004420,BS000626,Internal Audit,Risk acceptance,Indirect,High,Risk acceptance evidence pack,85.5,20.6,Strong,US
REG00000854,SYS0007197,BS000008,PCI-DSS,Vulnerability management,Direct,Critical,Vulnerability management evidence pack,89.0,26.5,Strong,UK
REG00000855,SYS0001729,BS000079,NIS2,Incident reporting,Indirect,High,Incident reporting evidence pack,38.2,22.2,Strong,EU
REG00000856,SYS0000165,BS000335,HIPAA,Access logging,Direct,High,Access logging evidence pack,53.3,32.3,Strong,US
REG00000857,SYS0009896,BS000717,Operational Resilience,Impact tolerance,Watch,High,Impact tolerance evidence pack,78.1,19.3,Strong,APAC
REG00000858,SYS0006765,BS000279,NIS2,Cyber risk governance,Evidence Only,Low,Cyber risk governance evidence pack,46.1,15.5,Strong,EU
REG00000859,SYS0008904,BS000264,HIPAA,Protected data safeguards,Watch,High,Protected data safeguards evidence pack,84.2,5.7,Strong,EU
REG00000860,SYS0003112,BS000696,NIS2,Supply-chain security,Evidence Only,Low,Supply-chain security evidence pack,31.9,33.7,Strong,EU
REG00000861,SYS0010320,BS000319,PCI-DSS,Cardholder data protection,Watch,Critical,Cardholder data protection evidence pack,71.4,41.8,Moderate,EU
REG00000862,SYS0005463,BS000545,NIS2,Incident reporting,Indirect,Medium,Incident reporting evidence pack,57.0,17.7,Strong,US
REG00000863,SYS0000154,BS000639,HIPAA,Business associate evidence,Indirect,Low,Business associate evidence evidence pack,28.1,9.6,Strong,LATAM
REG00000864,SYS0011275,BS000177,Internal Audit,Policy compliance,Indirect,High,Policy compliance evidence pack,61.4,40.9,Moderate,US
REG00000865,SYS0001916,BS000507,DORA,Operational resilience testing,Direct,High,Operational resilience testing evidence pack,89.6,25.8,Strong,EU
REG00000866,SYS0005716,BS000109,HIPAA,Protected data safeguards,Evidence Only,High,Protected data safeguards evidence pack,61.8,6.1,Strong,EU
REG00000867,SYS0003419,BS000216,PCI-DSS,Cardholder data protection,Watch,Low,Cardholder data protection evidence pack,68.2,0.0,Strong,UK
REG00000868,SYS0007812,BS000285,SOX,Financial reporting control,Direct,Critical,Financial reporting control evidence pack,35.1,55.7,Moderate,LATAM
REG00000869,SYS0002680,BS000708,Internal Audit,Policy compliance,Direct,High,Policy compliance evidence pack,19.0,21.0,Strong,APAC
REG00000870,SYS0010453,BS000337,DORA,Operational resilience testing,Watch,High,Operational resilience testing evidence pack,62.1,20.6,Strong,EU
REG00000871,SYS0002318,BS000149,GDPR,Processor evidence,Indirect,Critical,Processor evidence evidence pack,63.8,52.3,Moderate,APAC
REG00000872,SYS0003550,BS000061,DORA,Third-party risk evidence,Direct,Medium,Third-party risk evidence evidence pack,58.9,23.4,Strong,Global
REG00000873,SYS0007217,BS000346,DORA,Operational resilience testing,Direct,High,Operational resilience testing evidence pack,65.3,20.7,Strong,APAC
REG00000874,SYS0007713,BS000213,NIS2,Supply-chain security,Direct,Medium,Supply-chain security evidence pack,65.0,8.8,Strong,UK
REG00000875,SYS0007244,BS000556,GDPR,Data protection controls,Direct,Medium,Data protection controls evidence pack,53.0,24.2,Strong,Global
REG00000876,SYS0008739,BS000247,HIPAA,Protected data safeguards,Direct,Medium,Protected data safeguards evidence pack,54.3,11.6,Strong,LATAM
REG00000877,SYS0006881,BS000352,SOX,Access attestation,Evidence Only,Low,Access attestation evidence pack,15.2,17.9,Strong,EU
REG00000878,SYS0000965,BS000066,PCI-DSS,Vulnerability management,Direct,Medium,Vulnerability management evidence pack,86.3,23.8,Strong,EU
REG00000879,SYS0002590,BS000578,HIPAA,Access logging,Direct,Critical,Access logging evidence pack,30.8,19.2,Strong,US
REG00000880,SYS0009255,BS000427,PCI-DSS,Cardholder data protection,Direct,Low,Cardholder data protection evidence pack,34.3,20.6,Strong,US
REG00000881,SYS0011340,BS000211,DORA,ICT risk management,Direct,Medium,ICT risk management evidence pack,58.7,0.0,Strong,US
REG00000882,SYS0003821,BS000102,DORA,ICT risk management,Direct,High,ICT risk management evidence pack,62.9,26.8,Strong,UK
REG00000883,SYS0003262,BS000311,DORA,Third-party risk evidence,Indirect,High,Third-party risk evidence evidence pack,94.0,23.9,Strong,EU
REG00000884,SYS0009062,BS000495,Operational Resilience,Scenario testing,Indirect,Medium,Scenario testing evidence pack,42.1,36.8,Moderate,US
REG00000885,SYS0010410,BS000032,GDPR,Processor evidence,Direct,High,Processor evidence evidence pack,53.6,28.5,Strong,EU
REG00000886,SYS0004318,BS000330,PCI-DSS,Vulnerability management,Indirect,High,Vulnerability management evidence pack,29.1,29.5,Strong,EU
REG00000887,SYS0008451,BS000255,DORA,Operational resilience testing,Direct,Medium,Operational resilience testing evidence pack,50.3,24.5,Strong,EU
REG00000888,SYS0004339,BS000208,GDPR,Breach reporting,Watch,Low,Breach reporting evidence pack,49.7,8.6,Strong,US
REG00000889,SYS0007350,BS000684,GDPR,Processor evidence,Indirect,Medium,Processor evidence evidence pack,71.2,12.9,Strong,US
REG00000890,SYS0002900,BS000431,GDPR,Data protection controls,Indirect,Medium,Data protection controls evidence pack,72.6,21.0,Strong,EU
REG00000891,SYS0004959,BS000199,GDPR,Breach reporting,Direct,Critical,Breach reporting evidence pack,68.9,37.9,Moderate,US
REG00000892,SYS0010727,BS000370,DORA,ICT risk management,Direct,High,ICT risk management evidence pack,61.2,42.2,Moderate,US
REG00000893,SYS0004941,BS000330,GDPR,Processor evidence,Indirect,Low,Processor evidence evidence pack,62.3,0.0,Strong,US
REG00000894,SYS0006372,BS000398,SOX,Access attestation,Direct,Medium,Access attestation evidence pack,70.9,13.5,Strong,UK
REG00000895,SYS0004044,BS000517,DORA,Operational resilience testing,Direct,High,Operational resilience testing evidence pack,80.0,15.5,Strong,US
REG00000896,SYS0006315,BS000191,GDPR,Processor evidence,Direct,Low,Processor evidence evidence pack,73.9,0.0,Strong,US
REG00000897,SYS0006375,BS000450,NIS2,Cyber risk governance,Direct,High,Cyber risk governance evidence pack,52.7,27.6,Strong,UK
REG00000898,SYS0006606,BS000255,PCI-DSS,Cardholder data protection,Evidence Only,Medium,Cardholder data protection evidence pack,85.6,28.6,Strong,US
REG00000899,SYS0004150,BS000546,NIS2,Supply-chain security,Direct,High,Supply-chain security evidence pack,68.5,18.4,Strong,EU
REG00000900,SYS0010968,BS000692,GDPR,Data protection controls,Watch,High,Data protection controls evidence pack,59.6,23.2,Strong,EU
REG00000901,SYS0007148,BS000625,DORA,Third-party risk evidence,Direct,Medium,Third-party risk evidence evidence pack,17.9,44.0,Moderate,LATAM
REG00000902,SYS0004386,BS000390,SOX,Change evidence,Indirect,Medium,Change evidence evidence pack,31.7,31.1,Strong,LATAM
REG00000903,SYS0011998,BS000370,SOX,Change evidence,Evidence Only,Medium,Change evidence evidence pack,49.8,42.3,Moderate,APAC
REG00000904,SYS0009168,BS000332,GDPR,Data protection controls,Indirect,High,Data protection controls evidence pack,15.2,26.1,Strong,EU
REG00000905,SYS0006483,BS000656,NIS2,Incident reporting,Evidence Only,High,Incident reporting evidence pack,42.3,35.7,Moderate,US
REG00000906,SYS0006399,BS000506,DORA,ICT risk management,Indirect,Medium,ICT risk management evidence pack,82.2,13.3,Strong,EU
REG00000907,SYS0001054,BS000281,HIPAA,Access logging,Watch,Low,Access logging evidence pack,67.7,24.9,Strong,US
REG00000908,SYS0005034,BS000360,GDPR,Processor evidence,Direct,Medium,Processor evidence evidence pack,35.3,12.3,Strong,US
REG00000909,SYS0009632,BS000504,SOX,Access attestation,Direct,Medium,Access attestation evidence pack,62.9,22.1,Strong,US
REG00000910,SYS0004921,BS000355,NIS2,Supply-chain security,Direct,High,Supply-chain security evidence pack,76.7,30.9,Strong,EU
REG00000911,SYS0004394,BS000265,Internal Audit,Control evidence,Watch,Medium,Control evidence evidence pack,33.2,37.3,Moderate,UK
REG00000912,SYS0011166,BS000414,SOX,Change evidence,Evidence Only,Medium,Change evidence evidence pack,68.1,22.4,Strong,US
REG00000913,SYS0003726,BS000222,SOX,Financial reporting control,Watch,Critical,Financial reporting control evidence pack,79.1,33.6,Strong,Global
REG00000914,SYS0006580,BS000459,GDPR,Processor evidence,Direct,Critical,Processor evidence evidence pack,80.2,37.5,Moderate,EU
REG00000915,SYS0010545,BS000632,DORA,Operational resilience testing,Watch,Critical,Operational resilience testing evidence pack,24.9,51.7,Moderate,EU
REG00000916,SYS0001240,BS000201,HIPAA,Access logging,Direct,Critical,Access logging evidence pack,40.8,12.0,Strong,APAC
REG00000917,SYS0000691,BS000232,GDPR,Data protection controls,Direct,High,Data protection controls evidence pack,71.1,8.5,Strong,EU
REG00000918,SYS0001792,BS000669,DORA,ICT risk management,Direct,Medium,ICT risk management evidence pack,64.4,7.5,Strong,LATAM
REG00000919,SYS0005957,BS000072,GDPR,Breach reporting,Watch,High,Breach reporting evidence pack,62.2,16.3,Strong,EU
REG00000920,SYS0007385,BS000482,SOX,Financial reporting control,Watch,High,Financial reporting control evidence pack,34.3,42.7,Moderate,EU
REG00000921,SYS0006211,BS000271,PCI-DSS,Segmentation evidence,Direct,Low,Segmentation evidence evidence pack,67.6,0.0,Strong,EU
REG00000922,SYS0004417,BS000694,NIS2,Incident reporting,Indirect,High,Incident reporting evidence pack,51.4,19.6,Strong,UK
REG00000923,SYS0000124,BS000489,GDPR,Data protection controls,Indirect,Low,Data protection controls evidence pack,56.3,3.3,Strong,Global
REG00000924,SYS0011398,BS000404,Operational Resilience,Scenario testing,Indirect,Medium,Scenario testing evidence pack,67.5,14.7,Strong,EU
REG00000925,SYS0010921,BS000492,PCI-DSS,Segmentation evidence,Evidence Only,Medium,Segmentation evidence evidence pack,86.4,25.9,Strong,US
REG00000926,SYS0006497,BS000304,NIS2,Cyber risk governance,Evidence Only,High,Cyber risk governance evidence pack,54.7,8.5,Strong,EU
REG00000927,SYS0010395,BS000125,HIPAA,Business associate evidence,Indirect,High,Business associate evidence evidence pack,7.9,48.0,Moderate,US
REG00000928,SYS0006383,BS000579,Operational Resilience,Scenario testing,Direct,High,Scenario testing evidence pack,63.9,15.5,Strong,LATAM
REG00000929,SYS0003047,BS000146,NIS2,Cyber risk governance,Direct,Low,Cyber risk governance evidence pack,45.9,14.1,Strong,Global
REG00000930,SYS0005929,BS000652,GDPR,Breach reporting,Direct,High,Breach reporting evidence pack,46.6,27.9,Strong,US
REG00000931,SYS0000382,BS000398,GDPR,Processor evidence,Direct,Low,Processor evidence evidence pack,61.4,5.8,Strong,APAC
REG00000932,SYS0000995,BS000623,HIPAA,Business associate evidence,Indirect,High,Business associate evidence evidence pack,50.8,8.0,Strong,US
REG00000933,SYS0001189,BS000128,GDPR,Breach reporting,Indirect,Medium,Breach reporting evidence pack,50.6,5.4,Strong,UK
REG00000934,SYS0000352,BS000418,SOX,Change evidence,Evidence Only,Medium,Change evidence evidence pack,75.4,24.3,Strong,Global
REG00000935,SYS0007410,BS000034,PCI-DSS,Segmentation evidence,Indirect,High,Segmentation evidence evidence pack,62.4,14.3,Strong,US
REG00000936,SYS0009785,BS000533,DORA,Operational resilience testing,Direct,High,Operational resilience testing evidence pack,72.8,36.9,Moderate,Global
REG00000937,SYS0011593,BS000166,GDPR,Data protection controls,Direct,Low,Data protection controls evidence pack,31.2,27.8,Strong,US
REG00000938,SYS0002941,BS000493,HIPAA,Business associate evidence,Indirect,Low,Business associate evidence evidence pack,50.6,6.6,Strong,UK
REG00000939,SYS0007206,BS000168,PCI-DSS,Vulnerability management,Direct,High,Vulnerability management evidence pack,61.8,13.0,Strong,US
REG00000940,SYS0002083,BS000719,NIS2,Supply-chain security,Direct,Critical,Supply-chain security evidence pack,32.0,63.8,Moderate,Global
REG00000941,SYS0002135,BS000251,PCI-DSS,Cardholder data protection,Evidence Only,High,Cardholder data protection evidence pack,39.5,53.1,Moderate,LATAM
REG00000942,SYS0009360,BS000219,DORA,Operational resilience testing,Watch,High,Operational resilience testing evidence pack,79.6,25.3,Strong,EU
REG00000943,SYS0011015,BS000049,DORA,Third-party risk evidence,Evidence Only,High,Third-party risk evidence evidence pack,80.7,0.0,Strong,UK
REG00000944,SYS0005947,BS000280,DORA,Operational resilience testing,Direct,High,Operational resilience testing evidence pack,28.6,43.1,Moderate,UK
REG00000945,SYS0011477,BS000153,PCI-DSS,Vulnerability management,Indirect,High,Vulnerability management evidence pack,47.1,42.0,Moderate,APAC
REG00000946,SYS0010315,BS000420,PCI-DSS,Vulnerability management,Direct,Critical,Vulnerability management evidence pack,73.7,37.3,Moderate,Global
REG00000947,SYS0011248,BS000007,SOX,Change evidence,Watch,Medium,Change evidence evidence pack,84.6,22.1,Strong,US
REG00000948,SYS0000102,BS000477,NIS2,Incident reporting,Direct,Medium,Incident reporting evidence pack,63.6,7.2,Strong,US
REG00000949,SYS0001623,BS000343,DORA,Operational resilience testing,Evidence Only,High,Operational resilience testing evidence pack,60.0,28.2,Strong,EU
REG00000950,SYS0005665,BS000175,DORA,ICT risk management,Watch,Medium,ICT risk management evidence pack,54.5,36.7,Moderate,LATAM
REG00000951,SYS0004134,BS000176,PCI-DSS,Segmentation evidence,Indirect,Low,Segmentation evidence evidence pack,35.3,10.6,Strong,EU
REG00000952,SYS0004217,BS000263,SOX,Change evidence,Indirect,High,Change evidence evidence pack,81.5,18.9,Strong,EU
REG00000953,SYS0000182,BS000252,PCI-DSS,Vulnerability management,Indirect,Medium,Vulnerability management evidence pack,37.0,8.2,Strong,APAC
REG00000954,SYS0011822,BS000136,SOX,Change evidence,Direct,High,Change evidence evidence pack,75.7,16.3,Strong,US
REG00000955,SYS0002286,BS000336,NIS2,Supply-chain security,Watch,High,Supply-chain security evidence pack,76.3,22.4,Strong,UK
REG00000956,SYS0003102,BS000267,Internal Audit,Risk acceptance,Indirect,Low,Risk acceptance evidence pack,66.2,0.6,Strong,Global
REG00000957,SYS0001602,BS000001,PCI-DSS,Segmentation evidence,Direct,Low,Segmentation evidence evidence pack,49.0,22.3,Strong,LATAM
REG00000958,SYS0004868,BS000699,HIPAA,Business associate evidence,Direct,Medium,Business associate evidence evidence pack,79.8,9.8,Strong,LATAM
REG00000959,SYS0008226,BS000672,Operational Resilience,Service mapping,Watch,Medium,Service mapping evidence pack,89.5,19.3,Strong,EU
REG00000960,SYS0001052,BS000678,GDPR,Processor evidence,Evidence Only,Medium,Processor evidence evidence pack,61.9,33.7,Strong,UK
REG00000961,SYS0004476,BS000290,GDPR,Processor evidence,Direct,Medium,Processor evidence evidence pack,65.8,5.4,Strong,EU
REG00000962,SYS0005376,BS000269,GDPR,Processor evidence,Direct,High,Processor evidence evidence pack,57.0,35.1,Moderate,EU
REG00000963,SYS0000621,BS000431,SOX,Financial reporting control,Direct,High,Financial reporting control evidence pack,44.6,34.0,Strong,APAC
REG00000964,SYS0001079,BS000399,GDPR,Data protection controls,Direct,High,Data protection controls evidence pack,85.5,26.0,Strong,UK
REG00000965,SYS0010852,BS000095,DORA,ICT risk management,Evidence Only,High,ICT risk management evidence pack,69.1,6.4,Strong,APAC
REG00000966,SYS0007612,BS000529,PCI-DSS,Cardholder data protection,Direct,Medium,Cardholder data protection evidence pack,62.7,11.9,Strong,UK
REG00000967,SYS0006463,BS000246,SOX,Financial reporting control,Indirect,High,Financial reporting control evidence pack,91.5,8.0,Strong,LATAM
REG00000968,SYS0002446,BS000222,PCI-DSS,Cardholder data protection,Direct,Medium,Cardholder data protection evidence pack,45.7,30.7,Strong,US
REG00000969,SYS0005682,BS000405,DORA,ICT risk management,Evidence Only,High,ICT risk management evidence pack,77.1,23.4,Strong,LATAM
REG00000970,SYS0005053,BS000264,NIS2,Incident reporting,Indirect,High,Incident reporting evidence pack,88.4,1.7,Strong,EU
REG00000971,SYS0002190,BS000693,PCI-DSS,Segmentation evidence,Indirect,Medium,Segmentation evidence evidence pack,26.8,30.9,Strong,US
REG00000972,SYS0011865,BS000338,DORA,Third-party risk evidence,Direct,Medium,Third-party risk evidence evidence pack,68.2,1.8,Strong,US
REG00000973,SYS0006650,BS000687,PCI-DSS,Vulnerability management,Evidence Only,Medium,Vulnerability management evidence pack,51.4,19.3,Strong,LATAM
REG00000974,SYS0003802,BS000343,DORA,Third-party risk evidence,Watch,Critical,Third-party risk evidence evidence pack,67.7,29.3,Strong,EU
REG00000975,SYS0003134,BS000221,Operational Resilience,Impact tolerance,Indirect,Critical,Impact tolerance evidence pack,74.0,31.2,Strong,EU
REG00000976,SYS0011575,BS000625,GDPR,Processor evidence,Direct,Medium,Processor evidence evidence pack,42.0,23.4,Strong,US
REG00000977,SYS0002624,BS000249,Operational Resilience,Scenario testing,Direct,High,Scenario testing evidence pack,67.3,20.9,Strong,EU
REG00000978,SYS0002461,BS000328,NIS2,Supply-chain security,Indirect,Medium,Supply-chain security evidence pack,49.7,20.1,Strong,US
REG00000979,SYS0002476,BS000282,Internal Audit,Policy compliance,Evidence Only,Medium,Policy compliance evidence pack,36.9,16.9,Strong,US
REG00000980,SYS0007925,BS000199,DORA,Third-party risk evidence,Indirect,Critical,Third-party risk evidence evidence pack,67.4,21.6,Strong,EU
REG00000981,SYS0005753,BS000283,HIPAA,Business associate evidence,Watch,Critical,Business associate evidence evidence pack,37.2,36.3,Moderate,EU
REG00000982,SYS0008540,BS000643,DORA,ICT risk management,Direct,High,ICT risk management evidence pack,76.5,20.5,Strong,US
REG00000983,SYS0010006,BS000533,GDPR,Processor evidence,Indirect,Critical,Processor evidence evidence pack,74.3,43.4,Moderate,EU
REG00000984,SYS0011519,BS000464,GDPR,Data protection controls,Evidence Only,Medium,Data protection controls evidence pack,60.2,29.6,Strong,EU
REG00000985,SYS0007107,BS000492,PCI-DSS,Segmentation evidence,Indirect,High,Segmentation evidence evidence pack,84.8,43.5,Moderate,APAC
REG00000986,SYS0004673,BS000252,Operational Resilience,Impact tolerance,Direct,Critical,Impact tolerance evidence pack,65.8,47.4,Moderate,Global
REG00000987,SYS0003358,BS000711,PCI-DSS,Vulnerability management,Direct,Critical,Vulnerability management evidence pack,87.5,33.5,Strong,Global
REG00000988,SYS0010251,BS000646,GDPR,Data protection controls,Direct,High,Data protection controls evidence pack,54.3,29.2,Strong,EU
REG00000989,SYS0000470,BS000609,PCI-DSS,Segmentation evidence,Direct,High,Segmentation evidence evidence pack,18.3,58.5,Moderate,EU
REG00000990,SYS0005755,BS000560,NIS2,Supply-chain security,Direct,Medium,Supply-chain security evidence pack,21.9,33.5,Strong,US
REG00000991,SYS0009240,BS000604,GDPR,Data protection controls,Indirect,High,Data protection controls evidence pack,37.5,27.5,Strong,US
REG00000992,SYS0004351,BS000277,SOX,Change evidence,Direct,Low,Change evidence evidence pack,22.4,30.2,Strong,US
REG00000993,SYS0001379,BS000512,PCI-DSS,Segmentation evidence,Direct,Medium,Segmentation evidence evidence pack,73.6,32.2,Strong,LATAM
REG00000994,SYS0005669,BS000199,Operational Resilience,Scenario testing,Direct,Medium,Scenario testing evidence pack,52.0,12.7,Strong,US
REG00000995,SYS0011861,BS000288,GDPR,Breach reporting,Watch,Critical,Breach reporting evidence pack,69.8,33.4,Strong,UK
REG00000996,SYS0009644,BS000153,PCI-DSS,Cardholder data protection,Indirect,Low,Cardholder data protection evidence pack,57.3,20.3,Strong,EU
REG00000997,SYS0006787,BS000286,NIS2,Cyber risk governance,Direct,Critical,Cyber risk governance evidence pack,68.5,15.0,Strong,UK
REG00000998,SYS0002187,BS000208,Operational Resilience,Service mapping,Indirect,High,Service mapping evidence pack,78.0,0.0,Strong,EU
REG00000999,SYS0007333,BS000387,SOX,Access attestation,Direct,High,Access attestation evidence pack,77.7,0.0,Strong,EU
REG00001000,SYS0009751,BS000446,Operational Resilience,Impact tolerance,Evidence Only,Low,Impact tolerance evidence pack,43.1,17.9,Strong,APAC
REG00001001,SYS0011236,BS000683,GDPR,Data protection controls,Direct,High,Data protection controls evidence pack,63.9,48.1,Moderate,US
REG00001002,SYS0004219,BS000698,Operational Resilience,Service mapping,Direct,Critical,Service mapping evidence pack,66.4,24.9,Strong,US
REG00001003,SYS0002350,BS000111,Operational Resilience,Service mapping,Direct,Medium,Service mapping evidence pack,58.6,29.7,Strong,US
REG00001004,SYS0006902,BS000672,DORA,ICT risk management,Direct,High,ICT risk management evidence pack,84.0,10.7,Strong,EU
REG00001005,SYS0003058,BS000078,GDPR,Data protection controls,Evidence Only,High,Data protection controls evidence pack,90.8,38.0,Moderate,US
REG00001006,SYS0010733,BS000643,GDPR,Breach reporting,Direct,High,Breach reporting evidence pack,62.0,14.8,Strong,EU
REG00001007,SYS0009695,BS000425,NIS2,Cyber risk governance,Indirect,High,Cyber risk governance evidence pack,28.2,30.2,Strong,UK
REG00001008,SYS0006895,BS000528,DORA,ICT risk management,Direct,High,ICT risk management evidence pack,66.1,32.4,Strong,US
REG00001009,SYS0005114,BS000216,HIPAA,Protected data safeguards,Evidence Only,High,Protected data safeguards evidence pack,42.2,43.6,Moderate,LATAM
REG00001010,SYS0000039,BS000347,DORA,ICT risk management,Direct,Medium,ICT risk management evidence pack,59.1,12.8,Strong,Global
REG00001011,SYS0004379,BS000038,NIS2,Incident reporting,Evidence Only,Critical,Incident reporting evidence pack,23.7,45.5,Moderate,EU
REG00001012,SYS0008599,BS000135,PCI-DSS,Cardholder data protection,Evidence Only,High,Cardholder data protection evidence pack,58.8,40.4,Moderate,EU
REG00001013,SYS0004509,BS000396,DORA,Operational resilience testing,Watch,High,Operational resilience testing evidence pack,39.8,25.0,Strong,EU
REG00001014,SYS0006935,BS000142,GDPR,Processor evidence,Evidence Only,High,Processor evidence evidence pack,73.8,43.6,Moderate,APAC
REG00001015,SYS0000791,BS000440,GDPR,Data protection controls,Evidence Only,High,Data protection controls evidence pack,64.5,5.3,Strong,APAC
REG00001016,SYS0011724,BS000408,Operational Resilience,Impact tolerance,Indirect,Medium,Impact tolerance evidence pack,58.2,24.2,Strong,US
REG00001017,SYS0004964,BS000241,Operational Resilience,Scenario testing,Direct,High,Scenario testing evidence pack,44.4,11.9,Strong,EU
REG00001018,SYS0004391,BS000629,HIPAA,Business associate evidence,Direct,High,Business associate evidence evidence pack,69.1,20.6,Strong,APAC
REG00001019,SYS0000049,BS000414,DORA,Operational resilience testing,Direct,High,Operational resilience testing evidence pack,53.4,30.2,Strong,UK
REG00001020,SYS0000717,BS000611,SOX,Access attestation,Evidence Only,Medium,Access attestation evidence pack,21.6,36.2,Moderate,UK
REG00001021,SYS0006885,BS000200,SOX,Financial reporting control,Direct,High,Financial reporting control evidence pack,74.0,20.6,Strong,APAC
REG00001022,SYS0008197,BS000032,GDPR,Data protection controls,Evidence Only,High,Data protection controls evidence pack,62.1,25.1,Strong,EU
REG00001023,SYS0010830,BS000511,NIS2,Cyber risk governance,Direct,Medium,Cyber risk governance evidence pack,15.5,35.5,Moderate,EU
REG00001024,SYS0000044,BS000191,PCI-DSS,Vulnerability management,Evidence Only,High,Vulnerability management evidence pack,43.2,27.8,Strong,US
REG00001025,SYS0003692,BS000388,GDPR,Data protection controls,Indirect,High,Data protection controls evidence pack,38.0,26.2,Strong,UK
REG00001026,SYS0005684,BS000524,GDPR,Processor evidence,Evidence Only,High,Processor evidence evidence pack,65.6,20.7,Strong,UK
REG00001027,SYS0008953,BS000615,SOX,Financial reporting control,Evidence Only,Medium,Financial reporting control evidence pack,60.5,29.7,Strong,EU
REG00001028,SYS0005823,BS000074,GDPR,Data protection controls,Direct,Critical,Data protection controls evidence pack,71.3,29.9,Strong,EU
REG00001029,SYS0000316,BS000651,Operational Resilience,Scenario testing,Watch,Medium,Scenario testing evidence pack,88.9,23.8,Strong,US
REG00001030,SYS0010229,BS000098,GDPR,Data protection controls,Indirect,High,Data protection controls evidence pack,61.0,21.2,Strong,EU
REG00001031,SYS0004913,BS000374,SOX,Access attestation,Evidence Only,Critical,Access attestation evidence pack,27.7,31.7,Strong,UK
REG00001032,SYS0006357,BS000115,Operational Resilience,Service mapping,Indirect,Critical,Service mapping evidence pack,80.1,53.8,Moderate,EU
REG00001033,SYS0004305,BS000018,NIS2,Supply-chain security,Indirect,High,Supply-chain security evidence pack,77.1,25.8,Strong,US
REG00001034,SYS0011585,BS000641,NIS2,Cyber risk governance,Evidence Only,Medium,Cyber risk governance evidence pack,67.1,0.0,Strong,EU
REG00001035,SYS0002838,BS000030,GDPR,Breach reporting,Direct,Critical,Breach reporting evidence pack,72.9,29.9,Strong,US
