signal_id,signal_date,signal_type,vendor,product,market_theme,description,severity,likelihood,time_horizon_months,mapped_system_count,estimated_cost_impact_eur,recommended_watch_action,confidence
SIG00000302,2026-04-14,Threat Trend,VMware,vCenter,Threat Trend,Threat activity is increasing against related technology patterns.,4,0.557,27,77,1394969.15,Validate controls,0.465
SIG00000303,2026-04-20,AI-Native Shift,Custom,Legacy Java Application,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,1,0.846,12,406,4905452.19,Validate controls,0.776
SIG00000304,2025-09-02,Vendor Consolidation,Open Source,PostgreSQL,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.591,57,399,21962800.84,Assess replacement option,0.614
SIG00000305,2026-06-30,Threat Trend,Oracle,WebLogic,Threat Trend,Threat activity is increasing against related technology patterns.,4,0.843,49,66,1676072.59,Assess replacement option,0.828
SIG00000306,2024-01-30,Open Source Alternative,IBM,AIX,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,2,0.329,9,262,3314136.61,Monitor,0.541
SIG00000307,2025-07-10,Regulatory Change,SAP,ECC,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.367,29,137,16442667.29,Model scenario,0.78
SIG00000308,2024-12-17,Pricing Shock,SAP,BusinessObjects,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,1,0.554,46,76,286772.78,Monitor,0.712
SIG00000309,2024-12-30,Vendor Consolidation,Red Hat,OpenShift,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",2,0.368,56,151,3974789.95,Model scenario,0.745
SIG00000310,2024-08-26,Vendor Consolidation,Red Hat,OpenShift,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",1,0.534,40,98,188119.08,Escalate to board pack,0.936
SIG00000311,2025-03-16,Pricing Shock,VMware,NSX,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,1,0.599,33,143,2332205.24,Model scenario,0.783
SIG00000312,2024-03-22,Vendor Consolidation,VMware,vSphere,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.575,58,342,74415888.2,Prepare negotiation,0.633
SIG00000313,2025-04-20,Ecosystem Decline,IBM,FileNet,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,2,0.557,29,282,3375459.0,Assess replacement option,0.684
SIG00000314,2025-09-02,Pricing Shock,SAP,S/4HANA,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,3,0.468,49,106,29409877.72,Validate controls,0.217
SIG00000315,2025-07-19,Pricing Shock,Oracle,WebLogic,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,4,0.582,21,147,9403557.43,Prepare negotiation,0.648
SIG00000316,2025-02-09,Regulatory Change,IBM,Cognos Analytics,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,2,0.735,54,190,13126713.84,Monitor,0.696
SIG00000317,2024-05-14,Threat Trend,SAP,ECC,Threat Trend,Threat activity is increasing against related technology patterns.,4,0.442,8,265,17405609.04,Model scenario,0.802
SIG00000318,2024-10-30,Threat Trend,IBM,FileNet,Threat Trend,Threat activity is increasing against related technology patterns.,5,0.322,5,329,112653977.11,Assess replacement option,0.278
SIG00000319,2026-06-24,AI-Native Shift,Microsoft,SQL Server,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,3,0.531,41,322,8033968.72,Validate controls,0.672
SIG00000320,2025-03-25,Threat Trend,Broadcom,CA Identity Manager,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.81,26,174,2461513.26,Model scenario,0.772
SIG00000321,2025-12-20,Pricing Shock,SAP,BusinessObjects,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,3,0.711,18,254,22323413.83,Monitor,0.801
SIG00000322,2025-08-27,Pricing Shock,IBM,MQ,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,4,0.319,51,425,52728893.29,Validate controls,0.818
SIG00000323,2025-01-03,Ecosystem Decline,VMware,vSphere,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,4,0.484,56,125,3964895.87,Model scenario,0.661
SIG00000324,2024-07-04,Regulatory Change,Red Hat,RHEL,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,4,0.488,28,440,2624490.71,Escalate to board pack,0.808
SIG00000325,2025-04-27,Talent Scarcity,IBM,MQ,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,2,0.685,13,183,14253227.92,Model scenario,0.554
SIG00000326,2026-02-22,Regulatory Change,Broadcom,CA Identity Manager,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,2,0.667,46,156,16493717.59,Model scenario,0.822
SIG00000327,2024-03-23,Threat Trend,Red Hat,RHEL,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.746,12,144,1613724.13,Assess replacement option,0.878
SIG00000328,2025-12-22,Vendor Consolidation,SAP,BusinessObjects,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",2,0.072,17,94,2615317.18,Model scenario,0.595
SIG00000329,2024-08-10,Threat Trend,Broadcom,CA Identity Manager,Threat Trend,Threat activity is increasing against related technology patterns.,1,0.241,24,130,495597.78,Prepare negotiation,0.877
SIG00000330,2024-08-08,Pricing Shock,VMware,vSphere,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,5,0.839,52,218,7129333.07,Model scenario,0.8
SIG00000331,2024-09-13,Threat Trend,VMware,vCenter,Threat Trend,Threat activity is increasing against related technology patterns.,4,0.565,49,434,20886325.55,Prepare negotiation,0.968
SIG00000332,2026-03-27,AI-Native Shift,Custom,AI-Native Application,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,1,0.775,50,180,1538358.74,Monitor,0.704
SIG00000333,2026-03-22,Pricing Shock,IBM,FileNet,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,2,0.724,9,372,10628604.64,Validate controls,0.757
SIG00000334,2025-01-24,Pricing Shock,IBM,FileNet,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,2,0.63,48,278,4711030.05,Prepare negotiation,0.784
SIG00000335,2026-04-19,Talent Scarcity,SAP,ECC,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,4,0.687,11,218,3362582.58,Prepare negotiation,0.856
SIG00000336,2025-03-30,Pricing Shock,SAP,S/4HANA,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,3,0.648,28,75,3112032.85,Validate controls,0.716
SIG00000337,2024-11-08,Open Source Alternative,SAP,BusinessObjects,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,3,0.634,25,126,13443510.26,Monitor,0.798
SIG00000338,2025-02-26,Open Source Alternative,VMware,vSphere,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,5,0.576,40,545,35885326.76,Prepare negotiation,0.691
SIG00000339,2024-07-31,Threat Trend,IBM,Db2,Threat Trend,Threat activity is increasing against related technology patterns.,1,0.444,4,439,21955849.43,Assess replacement option,0.767
SIG00000340,2025-10-31,AI-Native Shift,Open Source,Kubernetes,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,2,0.412,44,248,5303561.81,Prepare negotiation,0.626
SIG00000341,2024-06-20,Regulatory Change,SAP,HANA,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,1,0.359,13,260,6786735.27,Prepare negotiation,0.786
SIG00000342,2024-07-13,Pricing Shock,Open Source,Kafka,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,1,0.703,59,164,8420926.93,Prepare negotiation,0.84
SIG00000343,2024-07-31,Pricing Shock,Red Hat,OpenShift,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,1,0.741,33,62,927945.64,Prepare negotiation,0.949
SIG00000344,2026-03-26,Quantum Crypto Horizon,Custom,AI-Native Application,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,1,0.356,37,51,620149.26,Assess replacement option,0.725
SIG00000345,2025-11-17,AI-Native Shift,SAP,HANA,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,5,0.517,33,205,8755633.08,Assess replacement option,0.417
SIG00000346,2025-06-01,Open Source Alternative,VMware,vSphere,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,1,0.505,17,595,19080658.26,Model scenario,0.528
SIG00000347,2025-05-22,Pricing Shock,Microsoft,SQL Server,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,1,0.38,16,274,5802061.55,Monitor,0.309
SIG00000348,2024-09-19,AI-Native Shift,IBM,FileNet,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,2,0.782,56,268,3066236.89,Validate controls,0.799
SIG00000349,2024-02-13,Threat Trend,Custom,Mainframe Integration Service,Threat Trend,Threat activity is increasing against related technology patterns.,1,0.668,7,150,3745935.12,Validate controls,0.842
SIG00000350,2026-05-10,Regulatory Change,Open Source,PostgreSQL,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,1,0.237,18,262,1800732.21,Model scenario,0.842
SIG00000351,2024-08-27,Pricing Shock,IBM,MQ,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,5,0.706,12,311,30871138.17,Validate controls,0.704
SIG00000352,2026-04-04,AI-Native Shift,IBM,Db2,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,1,0.576,48,591,20163116.38,Assess replacement option,0.851
SIG00000353,2025-05-02,Regulatory Change,IBM,Db2,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.184,37,350,28260722.65,Validate controls,0.835
SIG00000354,2025-08-25,Regulatory Change,Red Hat,RHEL,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.456,9,338,32553439.0,Assess replacement option,0.943
SIG00000355,2025-12-29,Vendor Consolidation,SAP,HANA,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",3,0.772,41,87,13182061.61,Assess replacement option,0.666
SIG00000356,2024-09-22,AI-Native Shift,SAP,ECC,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,2,0.404,30,199,1928492.91,Model scenario,0.487
SIG00000357,2025-09-13,Pricing Shock,IBM,Db2,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,5,0.46,35,179,30950060.04,Validate controls,0.497
SIG00000358,2024-04-03,Threat Trend,SAP,S/4HANA,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.644,34,260,23854288.69,Prepare negotiation,0.722
SIG00000359,2025-01-01,Threat Trend,Oracle,WebLogic,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.457,15,142,5322022.02,Assess replacement option,0.764
SIG00000360,2024-05-05,Vendor Consolidation,Open Source,PostgreSQL,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.718,9,137,11244456.4,Assess replacement option,0.872
SIG00000361,2024-10-04,AI-Native Shift,Red Hat,RHEL,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,4,0.498,58,102,9401542.18,Assess replacement option,0.726
SIG00000362,2024-08-01,Pricing Shock,Open Source,PostgreSQL,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,2,0.548,27,133,2971657.54,Validate controls,0.885
SIG00000363,2024-07-10,Regulatory Change,SAP,HANA,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.504,27,340,25084984.14,Assess replacement option,0.771
SIG00000364,2026-02-24,Pricing Shock,IBM,Tivoli / Spectrum Protect,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,1,0.407,51,214,3140809.33,Monitor,0.513
SIG00000365,2024-08-25,Quantum Crypto Horizon,IBM,Cognos Analytics,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,3,0.639,25,135,6633650.38,Prepare negotiation,0.747
SIG00000366,2024-12-04,Open Source Alternative,Open Source,Kubernetes,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,1,0.671,32,152,2849220.05,Model scenario,0.8
SIG00000367,2025-07-14,Quantum Crypto Horizon,IBM,MQ,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,3,0.276,17,517,13968263.37,Assess replacement option,0.671
SIG00000368,2025-11-10,Open Source Alternative,IBM,Cognos Analytics,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,5,0.5,38,223,39457876.1,Monitor,0.766
SIG00000369,2025-09-17,Threat Trend,Custom,Mainframe Integration Service,Threat Trend,Threat activity is increasing against related technology patterns.,1,0.305,39,90,2411766.56,Escalate to board pack,0.618
SIG00000370,2025-02-17,Pricing Shock,Custom,Legacy Java Application,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,2,0.696,6,395,4446848.39,Monitor,0.654
SIG00000371,2025-06-19,Vendor Consolidation,IBM,AIX,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.77,45,310,22259821.33,Prepare negotiation,0.643
SIG00000372,2025-10-23,Vendor Consolidation,SAP,ECC,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.595,14,380,46896330.26,Prepare negotiation,0.822
SIG00000373,2025-09-11,Ecosystem Decline,Microsoft,Windows Server,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,2,0.456,38,628,8394476.78,Model scenario,0.848
SIG00000374,2025-07-23,Ecosystem Decline,Red Hat,OpenShift,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,3,0.48,47,85,4840340.25,Escalate to board pack,0.604
SIG00000375,2024-04-30,AI-Native Shift,Broadcom,CA Identity Manager,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,5,0.753,7,101,12412106.55,Monitor,0.747
SIG00000376,2025-07-29,Open Source Alternative,IBM,Cognos Analytics,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,1,0.629,11,326,4664296.83,Model scenario,0.614
SIG00000377,2025-08-05,Ecosystem Decline,IBM,FileNet,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,5,0.566,22,81,3206543.54,Prepare negotiation,0.904
SIG00000378,2025-02-07,Threat Trend,Red Hat,OpenShift,Threat Trend,Threat activity is increasing against related technology patterns.,1,0.759,19,162,6200140.28,Prepare negotiation,0.781
SIG00000379,2025-12-10,Ecosystem Decline,IBM,Cognos Analytics,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,3,0.438,19,376,6703181.76,Assess replacement option,0.315
SIG00000380,2025-04-26,Regulatory Change,Oracle,Oracle Database,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,3,0.604,42,487,13766092.2,Prepare negotiation,0.575
SIG00000381,2024-04-18,Quantum Crypto Horizon,IBM,WebSphere Application Server,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,5,0.797,37,470,35129532.89,Assess replacement option,0.802
SIG00000382,2024-06-05,Quantum Crypto Horizon,SAP,PI/PO,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,1,0.554,7,180,2328019.82,Escalate to board pack,0.597
SIG00000383,2025-12-22,Regulatory Change,SAP,S/4HANA,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,2,0.19,43,157,2538345.97,Assess replacement option,0.487
SIG00000384,2026-01-18,Regulatory Change,Red Hat,OpenShift,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,4,0.813,34,85,1234240.82,Validate controls,0.952
SIG00000385,2026-05-04,Regulatory Change,VMware,vSphere,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.484,41,162,73146126.61,Model scenario,0.983
SIG00000386,2025-12-15,Regulatory Change,Microsoft,Windows Server,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.188,12,347,37531701.14,Validate controls,0.812
SIG00000387,2026-05-18,Regulatory Change,VMware,NSX,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,5,0.504,3,50,1245557.79,Validate controls,0.571
SIG00000388,2025-04-28,Vendor Consolidation,Broadcom,CA Identity Manager,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",4,0.382,53,132,3402589.04,Prepare negotiation,0.602
SIG00000389,2026-01-12,Threat Trend,Microsoft,SQL Server,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.354,57,451,14565123.04,Prepare negotiation,0.948
SIG00000390,2024-09-21,Talent Scarcity,IBM,WebSphere Application Server,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,4,0.656,32,122,4584933.04,Prepare negotiation,0.711
SIG00000391,2026-05-20,Quantum Crypto Horizon,Microsoft,Windows Server,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,5,0.338,6,138,16080076.1,Validate controls,0.785
SIG00000392,2024-12-24,Open Source Alternative,SAP,HANA,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,4,0.473,43,339,35748584.45,Prepare negotiation,0.677
SIG00000393,2024-07-25,Regulatory Change,IBM,MQ,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,1,0.69,43,262,2846292.92,Escalate to board pack,0.802
SIG00000394,2025-06-12,Threat Trend,Open Source,Kubernetes,Threat Trend,Threat activity is increasing against related technology patterns.,1,0.383,18,265,7675883.51,Escalate to board pack,0.915
SIG00000395,2026-04-25,Threat Trend,Open Source,Kubernetes,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.568,6,174,31372082.86,Model scenario,0.837
SIG00000396,2024-07-25,Threat Trend,Red Hat,OpenShift,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.555,32,107,1293122.57,Monitor,0.594
SIG00000397,2026-03-05,Regulatory Change,Oracle,Oracle Database,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,4,0.24,16,320,16792398.44,Model scenario,0.676
SIG00000398,2025-01-28,Open Source Alternative,IBM,Cognos Analytics,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,2,0.555,11,252,7017429.2,Assess replacement option,0.45
SIG00000399,2025-04-16,Open Source Alternative,Custom,Legacy Java Application,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,5,0.646,20,205,72009853.5,Model scenario,0.832
SIG00000400,2026-04-01,Threat Trend,Open Source,Kubernetes,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.683,53,83,1643486.56,Model scenario,0.385
SIG00000401,2025-05-31,Open Source Alternative,SAP,ECC,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,5,0.809,7,504,22325115.7,Validate controls,0.578
SIG00000402,2024-07-31,Vendor Consolidation,SAP,PI/PO,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.303,12,159,1554228.01,Validate controls,0.406
SIG00000403,2024-06-19,Threat Trend,Red Hat,RHEL,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.879,5,283,62011995.63,Model scenario,0.724
SIG00000404,2026-03-19,Vendor Consolidation,SAP,S/4HANA,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.661,4,197,10324100.79,Model scenario,0.696
SIG00000405,2025-02-02,Pricing Shock,VMware,NSX,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,3,0.495,48,47,552770.35,Assess replacement option,0.476
SIG00000406,2024-07-26,Talent Scarcity,Oracle,WebLogic,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,3,0.728,17,255,6606116.95,Assess replacement option,0.574
SIG00000407,2025-07-03,AI-Native Shift,VMware,vCenter,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,4,0.488,6,402,33173482.01,Assess replacement option,0.329
SIG00000408,2025-10-24,Vendor Consolidation,IBM,Tivoli / Spectrum Protect,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",3,0.384,16,142,4078275.77,Monitor,0.938
SIG00000409,2024-11-18,Open Source Alternative,VMware,vSphere,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,3,0.585,41,298,14180329.69,Prepare negotiation,0.854
SIG00000410,2025-05-04,Regulatory Change,SAP,ECC,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,4,0.689,29,499,25913491.74,Assess replacement option,0.881
SIG00000411,2026-01-31,Vendor Consolidation,IBM,Tivoli / Spectrum Protect,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",3,0.559,57,77,1519016.25,Monitor,0.832
SIG00000412,2024-12-26,Threat Trend,Custom,Legacy Java Application,Threat Trend,Threat activity is increasing against related technology patterns.,5,0.419,45,297,33341917.94,Validate controls,0.604
SIG00000413,2026-02-25,Threat Trend,SAP,ECC,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.856,22,337,2305009.38,Escalate to board pack,0.443
SIG00000414,2025-03-31,Talent Scarcity,Oracle,Oracle Database,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,2,0.711,48,256,6146308.17,Assess replacement option,0.712
SIG00000415,2024-09-24,Ecosystem Decline,SAP,HANA,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,3,0.908,36,73,1035561.21,Model scenario,0.884
SIG00000416,2025-09-21,Threat Trend,Microsoft,SQL Server,Threat Trend,Threat activity is increasing against related technology patterns.,4,0.822,41,451,55271988.75,Model scenario,0.554
SIG00000417,2025-05-02,Regulatory Change,SAP,HANA,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,2,0.494,25,375,13923854.56,Prepare negotiation,0.685
SIG00000418,2024-06-01,Ecosystem Decline,Open Source,Kubernetes,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,1,0.614,19,119,2334599.89,Escalate to board pack,0.809
SIG00000419,2025-07-15,Regulatory Change,IBM,MQ,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,4,0.801,6,252,7413719.49,Monitor,0.518
SIG00000420,2025-12-13,Talent Scarcity,Custom,AI-Native Application,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,5,0.758,23,162,3545313.65,Assess replacement option,0.677
SIG00000421,2025-03-02,Quantum Crypto Horizon,VMware,vSphere,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,4,0.45,16,337,41990932.33,Monitor,0.95
SIG00000422,2026-03-29,Open Source Alternative,Oracle,Oracle Database,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,5,0.916,23,305,9289814.19,Assess replacement option,0.81
SIG00000423,2025-11-12,Regulatory Change,VMware,vSphere,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,4,0.643,11,169,3675907.26,Model scenario,0.432
SIG00000424,2025-03-13,AI-Native Shift,Oracle,Oracle Database,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,1,0.683,10,180,2198168.64,Assess replacement option,0.681
SIG00000425,2025-01-30,Talent Scarcity,SAP,PI/PO,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,5,0.485,37,128,21535835.56,Monitor,0.915
SIG00000426,2025-02-23,Open Source Alternative,Microsoft,SQL Server,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,5,0.412,30,418,58299162.43,Assess replacement option,0.737
SIG00000427,2026-05-24,AI-Native Shift,Red Hat,RHEL,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,2,0.808,46,395,3373411.26,Model scenario,0.674
SIG00000428,2025-05-05,Open Source Alternative,VMware,NSX,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,1,0.423,37,141,1004845.09,Monitor,0.776
SIG00000429,2024-11-12,Open Source Alternative,SAP,S/4HANA,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,2,0.649,5,198,8952931.8,Monitor,0.645
SIG00000430,2024-05-08,Talent Scarcity,Red Hat,OpenShift,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,5,0.629,43,91,2056503.82,Prepare negotiation,0.598
SIG00000431,2024-11-05,AI-Native Shift,SAP,PI/PO,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,5,0.626,45,58,731585.05,Validate controls,0.947
SIG00000432,2026-06-20,Talent Scarcity,SAP,HANA,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,1,0.649,31,120,1629615.72,Prepare negotiation,0.644
SIG00000433,2025-04-29,Quantum Crypto Horizon,Custom,Legacy Java Application,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,5,0.593,49,282,18977773.2,Model scenario,0.676
SIG00000434,2026-01-29,Threat Trend,SAP,HANA,Threat Trend,Threat activity is increasing against related technology patterns.,5,0.481,14,361,68292545.46,Prepare negotiation,0.759
SIG00000435,2026-01-21,Talent Scarcity,IBM,FileNet,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,1,0.893,46,134,2582755.74,Monitor,0.854
SIG00000436,2025-04-27,Vendor Consolidation,IBM,MQ,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",1,0.671,5,207,2852975.22,Escalate to board pack,0.766
SIG00000437,2025-05-21,Pricing Shock,Custom,AI-Native Application,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,2,0.819,13,126,4677355.24,Monitor,0.922
SIG00000438,2024-07-11,Ecosystem Decline,IBM,FileNet,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,5,0.327,10,300,171906717.53,Monitor,0.577
SIG00000439,2024-12-23,Threat Trend,SAP,HANA,Threat Trend,Threat activity is increasing against related technology patterns.,4,0.879,4,316,15550162.16,Model scenario,0.623
SIG00000440,2026-05-16,Regulatory Change,SAP,HANA,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,4,0.168,7,88,3870227.71,Monitor,0.257
SIG00000441,2025-01-10,Talent Scarcity,SAP,ECC,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,3,0.838,16,322,6340330.33,Prepare negotiation,0.789
SIG00000442,2025-08-12,AI-Native Shift,Microsoft,Windows Server,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,4,0.432,50,424,5630603.59,Monitor,0.697
SIG00000443,2024-07-16,Talent Scarcity,IBM,WebSphere Application Server,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,4,0.516,19,402,5194918.02,Monitor,0.681
SIG00000444,2024-11-30,Vendor Consolidation,SAP,HANA,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",3,0.563,8,390,7054126.05,Model scenario,0.774
SIG00000445,2026-05-06,AI-Native Shift,Microsoft,Windows Server,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,2,0.686,44,664,6659379.22,Prepare negotiation,0.703
SIG00000446,2025-11-10,Regulatory Change,IBM,Tivoli / Spectrum Protect,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,1,0.262,42,152,1696705.6,Model scenario,0.911
SIG00000447,2025-09-30,Quantum Crypto Horizon,Open Source,Kubernetes,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,2,0.804,37,152,8336799.97,Model scenario,0.847
SIG00000448,2025-03-10,Threat Trend,Red Hat,RHEL,Threat Trend,Threat activity is increasing against related technology patterns.,4,0.514,51,115,2692737.28,Prepare negotiation,0.531
SIG00000449,2025-04-25,Vendor Consolidation,Custom,AI-Native Application,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",4,0.236,29,132,17801081.62,Monitor,0.117
SIG00000450,2026-03-16,Quantum Crypto Horizon,SAP,ECC,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,2,0.523,43,442,3773838.65,Prepare negotiation,0.934
SIG00000451,2024-12-02,Open Source Alternative,Open Source,PostgreSQL,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,1,0.6,6,69,2241524.66,Monitor,0.762
SIG00000452,2026-03-29,Pricing Shock,Open Source,PostgreSQL,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,3,0.71,51,345,24508455.57,Escalate to board pack,0.785
SIG00000453,2024-02-22,Ecosystem Decline,Red Hat,OpenShift,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,1,0.816,16,104,3649275.1,Validate controls,0.847
